Model,MAE,RMSE,MPAE
ANN,64.22601620675225,74.27626272250392,4.791633952607107
ANN,58.28248744559152,68.54507361432137,4.29784361173412
ANN,86.17936809430803,95.65715984013963,6.100489376761011
ANN,43.75115752580916,54.73160518980555,3.3444720239814756
ANN,62.24740488839286,73.12523261259071,4.586609988839668
ANN,41.71804267089844,52.52489333322923,3.162622879774172
ANN,38.0755715736607,47.21580343622768,2.983459094298907
ANN,49.684797010323656,62.750464388256894,3.8488683698597175
ANN,50.120445460379464,59.99132636679933,3.8690497363847838
ANN,51.864497399553564,62.390131897578826,3.9118508556987446
ANN,67.1386423200335,77.29898250990449,4.820915965614057
ANN,59.86807957101004,71.1382971654479,4.294788145139695
ANN,30.47822165387835,40.19579828172736,2.807169957343705
ANN,35.59379616629464,45.282223086420125,3.1332957822667193
